City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,saldanha,-33.0117,17.9442,287.18,93,100,8.24,ZA,1681952275
246,kapit,2.0167,112.9333,301.21,78,57,0.04,MY,1681952276
247,necochea,-38.5473,-58.7368,284.6,74,0,2.51,AR,1681952276
248,ploemeur,47.7333,-3.4333,286.94,81,0,4.63,FR,1681952276
249,slatina-timis,45.25,22.2833,281.09,93,87,1.05,RO,1681952276
250,grindavik,63.8424,-22.4338,281.12,100,75,9.77,IS,1681952276
251,meadow lake,34.8014,-106.5436,294.53,7,1,11.52,US,1681952276
252,katsuura,35.1333,140.3,293.16,80,100,2.88,JP,1681952276
253,kristiinankaupunki,62.2743,21.376,273.2,92,22,2.28,FI,1681952276
254,shikarpur,27.9571,68.6379,295.09,20,0,1.53,PK,1681952263
255,wanning,18.8003,110.3967,301.72,77,7,5.66,CN,1681952276
256,qaqortoq,60.7167,-46.0333,272.73,92,69,0.82,GL,1681952276
257,narsaq,60.9167,-46.05,271.99,92,81,1.29,GL,1681952276
258,dunmore east,52.1514,-6.9861,283.89,71,84,8.69,IE,1681952276
259,kilimatinde,-5.85,34.95,290.33,93,29,0.56,TZ,1681952277
260,hovd,48.0056,91.6419,271.84,26,0,4.04,MN,1681952277
261,kaeo,-35.1,173.7833,295.0,96,100,5.11,NZ,1681952277
262,billings,45.7833,-108.5007,276.77,84,100,9.77,US,1681952277
263,samarai,-10.6167,150.6667,301.16,73,35,3.73,PG,1681952277
264,barkhan,29.8977,69.5256,290.9,32,0,1.92,PK,1681952277
265,kandrian,-6.2167,149.55,302.94,70,62,4.4,PG,1681952277
266,tselina,46.5338,41.0328,281.84,68,100,5.72,RU,1681952277
267,avera,33.194,-82.5271,294.21,54,0,2.35,US,1681952277
268,kyra,49.5776,111.9753,266.59,24,0,10.47,RU,1681952277
269,ibra,22.6906,58.5334,297.02,64,26,1.2,OM,1681952277
270,ponta delgada,37.7333,-25.6667,286.55,88,75,3.09,PT,1681952277
271,tavricheskoye,54.5851,73.6395,267.1,35,26,2.12,RU,1681952278
272,sovetskiy,61.3614,63.5842,268.43,90,61,2.04,RU,1681952278
273,wattegama,6.7989,81.4808,297.63,89,21,1.18,LK,1681952278
274,koutiala,12.3917,-5.4642,304.86,12,86,2.33,ML,1681952278
275,egvekinot,66.3167,-179.1667,267.68,89,86,2.1,RU,1681952278
276,naze,28.3667,129.4833,294.66,96,100,2.81,JP,1681952278
277,adrar,20.5022,-10.0711,299.12,21,100,2.87,MR,1681952278
278,marsa matruh,31.3525,27.2453,289.26,67,40,3.09,EG,1681952278
279,rio brilhante,-21.8019,-54.5464,289.72,80,2,1.76,BR,1681952278
280,petropavlovsk-kamchatskiy,53.0452,158.6483,279.48,49,75,7.0,RU,1681952278
281,malmyzh,56.5205,50.6818,277.16,91,4,1.91,RU,1681952279
282,puteyets,65.1716,57.091,272.41,91,100,3.28,RU,1681952279
283,sisimiut,66.9395,-53.6735,264.57,85,85,3.81,GL,1681952240
284,general roca,-39.0333,-67.5833,294.05,42,15,3.44,AR,1681952279
285,bahawalnagar,30.5508,73.3908,294.86,62,4,2.36,PK,1681952279
286,dorado,18.4588,-66.2677,299.8,80,0,3.84,PR,1681952279
287,midland,31.9974,-102.0779,305.52,8,0,9.26,US,1681952213
288,severo-kurilsk,50.6789,156.125,273.82,98,84,5.93,RU,1681952038
289,capitao poco,-1.7464,-47.0594,296.39,97,100,1.79,BR,1681952279
290,ponta do sol,32.6667,-17.1,291.49,73,88,1.37,PT,1681952279
291,bahia blanca,-38.7196,-62.2724,289.72,60,0,2.24,AR,1681952279
292,rocha,-34.4833,-54.3333,287.54,61,100,5.3,UY,1681952279
293,umm qays,32.6535,35.6854,291.05,47,100,1.37,JO,1681952279
294,sehithwa,-20.4667,22.7167,291.47,23,0,3.39,BW,1681952280
295,yangambi,0.8102,24.4336,295.46,84,100,0.29,CD,1681952280
296,mattru,7.6244,-11.8332,299.43,84,61,1.14,SL,1681952280
297,leshukonskoye,64.8989,45.7622,273.71,99,100,2.98,RU,1681952280
298,salalah,17.0151,54.0924,300.2,74,20,1.03,OM,1681952088
299,camocim,-2.9022,-40.8411,298.44,87,100,1.68,BR,1681952280
300,la macarena,2.1837,-73.7849,296.93,92,100,1.12,CO,1681952280
301,tavda,58.0425,65.2726,271.86,63,10,2.1,RU,1681952280
302,jiaojiang,28.6803,121.4428,295.37,85,100,4.62,CN,1681952280
303,olga,43.7444,135.2892,281.17,75,100,1.73,RU,1681952280
304,yatou,37.15,122.3833,290.55,71,50,2.34,CN,1681952281
305,koupela,12.1794,-0.3517,306.3,31,84,1.69,BF,1681952281
306,zeya,53.75,127.2667,272.12,66,100,4.02,RU,1681952281
307,drumheller,51.4617,-112.7101,277.78,52,100,3.6,CA,1681952281
308,thinadhoo,0.5333,72.9333,301.0,75,100,2.05,MV,1681952281
309,oriximina,-1.7656,-55.8661,297.52,90,99,1.36,BR,1681952281
310,chara,56.9064,118.2631,267.93,59,100,1.78,RU,1681952281
311,la cumbre,-30.982,-64.4914,285.47,69,1,1.4,AR,1681952281
312,ulaangom,49.9811,92.0667,271.69,29,96,2.77,MN,1681952281
313,xambioa,-6.4111,-48.5364,296.48,97,100,0.11,BR,1681952281
314,bud,39.447,-86.1758,299.12,79,88,3.74,US,1681952281
315,tabou,4.423,-7.3528,299.12,87,100,1.59,CI,1681952281
316,puerto rico,-26.796,-55.024,293.02,52,99,0.7,AR,1681952282
317,faanui,-16.4833,-151.75,301.23,78,100,5.79,PF,1681952282
318,erzin,36.9559,36.2,289.24,79,23,2.04,TR,1681952282
319,bacolod,10.6667,122.95,303.29,65,6,1.45,PH,1681952282
320,ampanihy,-24.7,44.75,293.7,96,27,2.0,MG,1681952282
321,estelle,29.8458,-90.1067,296.48,72,20,4.12,US,1681952282
322,hambantota,6.1241,81.1185,299.34,100,40,0.0,LK,1681952282
323,road town,18.4167,-64.6167,299.2,73,40,4.12,VG,1681952282
324,constitucion,-35.3333,-72.4167,286.7,80,10,4.25,CL,1681952282
325,hanna,51.6334,-111.9018,274.18,70,100,5.81,CA,1681952283
326,esperance,-33.8667,121.9,289.35,58,0,5.56,AU,1681952283
327,dhule,20.9,74.7833,302.47,32,99,2.9,IN,1681952283
328,arroyo,41.6096,-4.7969,286.17,57,0,3.6,ES,1681952283
329,porbandar,21.6422,69.6093,299.02,74,64,4.79,IN,1681952283
330,vangaindrano,-23.35,47.6,294.45,94,29,1.84,MG,1681952283
331,kenai,60.5544,-151.2583,281.2,52,0,4.12,US,1681952283
332,daru,-9.0763,143.2092,301.86,72,26,3.41,PG,1681952283
333,saint anthony,45.0205,-93.218,279.09,79,100,7.2,US,1681952284
334,kagal,16.5833,74.3167,297.69,66,0,2.29,IN,1681952284
335,tiquisate,14.2833,-91.3667,301.58,67,70,2.58,GT,1681952284
336,moctezuma,29.8,-109.6667,299.98,13,4,6.45,MX,1681952284
337,iqaluit,63.7506,-68.5145,267.0,85,100,2.06,CA,1681952284
338,brae,60.3964,-1.353,280.8,83,15,2.18,GB,1681952284
339,marathon,44.9,-89.7668,275.01,88,100,6.17,US,1681952284
340,cabatuan,10.8794,122.486,303.58,62,6,2.47,PH,1681952284
341,filingue,14.3521,3.3168,304.66,13,100,4.03,NE,1681952284
342,porto nacional,-10.7081,-48.4172,299.15,91,100,0.97,BR,1681952285
343,acopiara,-6.0953,-39.4525,296.28,79,99,0.69,BR,1681952285
344,kendari,-3.945,122.4989,300.21,86,90,0.64,ID,1681952285
345,binga,-17.6203,27.3414,293.76,72,0,1.71,ZW,1681952285
346,hobyo,5.3505,48.5268,301.04,71,73,2.45,SO,1681952285
347,sawakin,19.1059,37.3321,298.13,70,0,2.91,SD,1681952285
348,gaimersheim,48.807,11.368,277.33,86,75,1.03,DE,1681952285
349,mahanoro,-19.9,48.8,295.94,92,12,2.27,MG,1681952285
350,radhanpur,23.8333,71.6,298.84,62,98,4.08,IN,1681952286
351,maceio,-9.6658,-35.7353,298.84,94,0,3.09,BR,1681952226
352,invermere,50.5167,-116.0354,281.68,41,100,1.54,CA,1681952204
353,deputatskiy,69.3,139.9,257.29,93,95,1.6,RU,1681952286
354,mkushi,-13.6202,29.3939,288.61,98,14,2.1,ZM,1681952286
355,mandera,3.9366,41.867,300.61,68,10,3.67,KE,1681952286
356,fairview,40.8126,-73.999,287.79,54,0,0.89,US,1681952286
357,fare,-16.7,-151.0167,301.29,78,100,5.71,PF,1681952286
358,henties bay,-22.116,14.2845,290.82,80,34,3.21,NA,1681952286
359,purna,19.1833,77.05,303.46,30,37,2.3,IN,1681952286
360,port lincoln,-34.7333,135.8667,290.09,55,88,2.88,AU,1681952286
361,itamaraju,-17.0392,-39.5311,297.6,85,54,1.02,BR,1681952286
362,fairbanks,64.8378,-147.7164,277.13,41,20,0.0,US,1681952102
363,launceston,-41.45,147.1667,289.05,75,100,7.72,AU,1681952287
364,karratha,-20.7377,116.8463,299.04,30,0,10.8,AU,1681952287
